University,Department,Overall Pay,LW Ratio,Academic Year,Program Year,12 M Gross Pay,9 M Gross Pay,3 M Gross Pay,Fees,Comments
University of Maryland - College Park (UMD),education,"$1,950",0.06,2023-2024,,"$3,600",,,"$1,650","Required fees do not include parking if you need it (~ $300+ a year), health /dental/prescriptions are not included in a stipend traditionally, and it also doesn't cover anything. The costs of insurance, which vary depending on which ones you get, cost about ($175+) and are discounted at the same rate as full-time faculty/staff.  Each step (1-3), you only get an additional +$666, and the inflation % adjustment doesn't do much since fees continue to increase each year. This is for a 12-month GA. Funding or fellowships are distributed without guidelines and just go to professors' incompetent favorites, or are predominantly awarded to international students. Widening inequities within departments and colleges. Lastly, there are no affordable housing or transportation options available. Look elsewhere for a phd program if you want to survive and thrive. "
Northwestern University (NU),Philosophy,"$46,356",1.91,2025-2026,1st,"$46,356",,,,
New York University (NYU),Vilcek Institute,"$52,700",1.77,2025-2026,3rd,"$54,000",,,"$1,300",
Rice University,Political Science,"$37,400",1.71,2025-2026,4th,"$38,000",,,$600,
University of Wisconsin - Madison (UW),Physics,"$38,900",1.70,2024-2025,1st,"$38,900",,,,
,clinical psychology ,"$40,000",,2025-2026,1st,"$40,000",,,,
Indiana University,political science,"$24,000",1.11,2025-2026,2nd,,"$24,000",,,
University at Albany - SUNY,Information Science ,"$19,380",0.85,2023-2024,1st,"$19,380",,,,"After tax and health insurance, we received 1614 USD monthly for 10 months. No summer assistantship. The stipend is barely enough if you live with 2 roommates. "
Indiana University,Oneill school,"$27,000",1.25,2024-2025,,"$27,000",,,,
Northeastern University (NU),Computer Science,"$51,000",1.78,2025-2026,2nd,"$51,000",,,,
University of North Carolina - Greensboro (UNCG),Physics-PhD,"$20,000",0.93,2023-2024,1st,"$20,000",,,,"Nanoscience
Insurance is covered."
University of Georgia (UGA),Neuroscience,"$37,000",1.75,2025-2026,1st,"$37,000",,,,
North Carolina A&amp;T; State University (NC A&amp;T),Animal Science,"$18,000",,2024-2025,1st,"$18,000",,,,"MS- 9 months, Insurance is covered."
University of Kentucky (UK),College of Agriculture - Veterinary Science,"$29,000",1.42,2024-2025,1st,"$29,000",,,,
