University,Department,Overall Pay,LW Ratio,Academic Year,Program Year,12 M Gross Pay,9 M Gross Pay,3 M Gross Pay,Fees,Comments
Massachusetts Institute of Technology (MIT),Economics,"$42,000",1.50,2021-2022,1st,,"$37,000","$5,000",,
Purdue University - West Lafayette,Electrical and computer Engineering ,"$17,700",0.84,2021-2022,1st,,"$18,900",,"$1,200",TAship... still an incoming graduate student
University of Pittsburgh,Bioengineering,"$33,000",1.59,2020-2021,1st,"$33,000",,,,
Princeton University,Near Eastern Studies ,"$37,000",1.46,2021-2022,1st,"$37,000",,,,
University of Michigan - Ann Arbor (UM),mechanical engineerng,"$22,090",0.96,2021-2022,,"$23,000",,,$910,
University of Connecticut (UConn),Immunology,"$31,800",1.31,2020-2021,1st,"$32,000",,,$200,Fees for parking unless you work at The Jackson Laboratory
University of Nevada - Reno (UNR),Political Science,"$18,500",0.88,2020-2021,5th,,"$16,650","$1,850",,
University of Minnesota - Twin Cities (UM),Chemistry,"$23,000",1.00,2021-2022,1st,"$26,000",,,"$3,000",
Bowling Green State University (BGSU),Psychology,"$16,000",0.85,2021-2022,1st,,"$14,000","$2,000",,
Stanford University (SU),Physics,"$41,000",1.43,2020-2021,,"$46,000",,,"$5,000",
Pennsylvania State University (Penn State),Materials science and engineering,"$30,750",1.37,2021-2022,1st,"$30,750",,,,"The amount in my offer letter states 30,462.
However, in my i20 it states 30,750 a year. 
Amongst this 30,750 , 7200 is paid in the summer and rest is distributed evenly between other terms.
For, Health insurance we need to pay 700
Apart from that I believe there are some taxes which needs to be paid. 
The place is not that expensive and this stipend is more than enough to live a decent life. "
Arizona State University (ASU),Psychology PhD,"$25,000",1.13,2021-2022,1st,"$25,000",,,,
University of Notre Dame (ND),Conflict and Leave Studies,"$-18,000",-0.88,2021-2022,1st,"$10,000",,,"$28,000",
University of Notre Dame (ND),Conflict Studies,"$-18,000",-0.88,2021-2022,,"$10,000",,,"$28,000",
University of Alaska - Fairbanks (UAF),Department of Atmospheric Sciences,"$31,596",1.32,2020-2021,1st,,"$17,323","$14,273",,"8.5 months- 4078 each month
3.5 summer months 2039 each month
These are the stipend for fully-funded graduate program"
Boston University (BU),"Speech, Language & Hearing Sciences","$35,880",1.25,2020-2021,2nd,"$35,880",,,,
University of California - Santa Barbara (UCSB),political science,"$19,500",0.74,2020-2021,2nd,,"$14,500","$5,000",,
University of California - Santa Cruz,Earth and Planetary Science,"$43,300",1.61,2020-2021,1st,"$43,300",,,,"$43,300 total for the year: $31,730 for 2 quarters RA, 1 quarter fellowship, and 1 quarter TA. TA quarter has smallest stipend. $8070 extra summer pay, $2500 housing stipend, and this year a $1000 covid relief check. Also free health insurance + all fees and tuition covered. Extra summer pay and # of TA quarters is advisor-specific, but funding of some sort is guaranteed for 5 years"
Northwestern University (NU),applied physics,"$34,174",1.41,2020-2021,1st,"$34,174",,,,
Yale University (YU),Interdepartmental Neuroscience Program,"$37,300",1.51,2020-2021,,"$37,300",,,,
University of California - Irvine (UCI),EE,,0.00,2021-2022,1st,,"$21,000",,"$21,000",
,Pharmaceutical Sciences,"$25,000",,2020-2021,1st,"$25,000",,,,
University of Houston (UH),Pharmaceutical Sciences,"$22,000",1.01,2020-2021,1st,"$25,000",,,"$3,000",
Columbia University (CU),East Asian culture and language,,0.00,2021-2022,1st,,,,,
University of Massachusetts - Amherst (UMass),Comparative Literature ,"$23,050",1.01,2021-2022,1st,,"$23,050",,,
University of North Carolina - Chapel Hill (UNC),Biomedical and Health Informatics,"$24,000",1.08,2021-2022,1st,"$24,000",,,,
University of Massachusetts - Boston (UMB),Gerontology,"$18,092",0.63,2020-2021,4th,,"$18,092",,,"Full time posting for 18 hours per week for 9 months, did not input required fees because I don't remember what they are"
Michigan State University (MSU),CEE,"$21,000",1.02,2021-2022,1st,,"$21,000",,,
University of Chicago (UC),Public Policy,"$43,000",1.77,2021-2022,2nd,"$43,000",,,,
University of Arkansas - Fayetteville,Mechanical Engineering,"$1,540",0.08,2020-2021,2nd,"$1,540",,,,
Georgia Institute of Technology (Georgia Tech),Electrical and Computer Engineering,"$23,500",1.01,2020-2021,5th,"$28,000",,,"$4,500",
Vanderbilt University,Biological Sciences ,"$31,250",1.36,2020-2021,3rd,"$32,000",,,$750,
University of Colorado - Denver (UCD),pharmacology,"$34,000",1.52,2021-2022,4th,"$34,000",,,,
Mount Sinai School of Medicine,Biomedical science ,"$40,000",1.35,2020-2021,3rd,"$40,000",,,,
University of Massachusetts - Boston (UMB),Management,"$18,092",0.63,2020-2021,6th and up,,"$18,092",,,This is basic compensation for a full time grad assistant.  Fees are high and we are expecting health insurance to rise
University of Massachusetts - Boston (UMB),Management,"$18,092",0.63,2020-2021,6th and up,"$18,092",,,,This is basic compensation for a full time grad assistant.  Fees are high and we are expecting health insurance to rise
Montana State University (MSU),Civil Engineering,"$24,000",1.15,2020-2021,3rd,"$24,000",,,,
Stanford University (SU),Geological Sciences,"$50,220",1.75,2021-2022,1st,"$50,220",,,,
Drexel University (DU),MCBG,"$32,500",1.35,2020-2021,1st,"$33,000",,,$500,
Drexel University (DU),MCBG,"$32,500",1.35,2020-2021,1st,"$33,000",,,$500,
Johns Hopkins University (JHU),Chemical and Biomolecular engineering,"$35,000",1.36,2021-2022,1st,"$35,000",,,,
University of Illinois - Urbana- Champaign (UIUC),Philosophy,"$17,500",0.80,2021-2022,1st,,"$18,000",,$500,
University of Miami (UM),Criminal Justice,"$21,200",0.89,2021-2022,2nd,"$22,000",,,$800,
Stony Brook University - SUNY,Computer Science,"$32,460",1.16,2018-2019,1st,"$34,360",,,"$1,900","$19,360 TA during the academic year (10-month, paid biweekly, around $790 after-tax per biweekly paycheck), $5,000 first-year only fellowship, $10,000 summer RA"
Stony Brook University - SUNY,Computer Science,"$32,460",1.16,2018-2019,1st,"$34,360",,,"$1,900","$19,360 TA during the academic year (10-month, paid biweekly, around $790 after-tax per biweekly paycheck), $5,000 first-year only fellowship, $10,000 summer RA"
Stony Brook University - SUNY,Computer Science,"$28,000",1.00,2019-2020,3rd,"$30,000",,,"$2,000",
Stony Brook University - SUNY,Computer Science,"$28,000",1.00,2019-2020,3rd,"$30,000",,,"$2,000",
Stony Brook University - SUNY,Computer Science,"$28,000",1.00,2019-2020,3rd,"$30,000",,,"$2,000",
Stony Brook University - SUNY,Computer Science,"$29,688",1.06,2020-2021,3rd,"$31,000",,,"$1,312","Research Assistant. In Spring 2020 my advisor raised the stipend by $500/semester for advancing to candidacy. Most of the student fees have been waived for fully funded phd students starting from Spring 2021. Now it's $192/semester for international PhD students. In Fall 2020, we had to pay $1,120.

Note that the cost of living on the Long Island is extremely high though this is a suburban area. Monthly rents of serviced apartments vary from $800~$1000 (living room), $1200 (a non-master bedroom in a 3b2b unit) to $2000~$3000+ (studio/1b1b fully private apt). Thus, most of us PhD students are forced to rent bedrooms in a house owned by private landlords and share one kitchen/fridge by 5+ people."
University of Virginia (UVA),Psychology,"$32,000",1.40,2021-2022,,"$32,000",,,,
Duke University (DU),Graduate Program in Religion,"$30,000",1.35,2020-2021,3rd,,"$24,500","$5,500",,
Binghamton University - SUNY,History,"$14,755",0.71,2020-2021,1st,,"$17,000",,"$2,245",
Binghamton University - SUNY,History,"$14,755",0.71,2020-2021,1st,,"$17,000",,"$2,245",
Baylor University (BU),Biology,"$24,000",1.21,2021-2022,1st,"$24,000",,,,
University of Georgia (UGA),Bioinformatics,"$31,500",1.49,2021-2022,3rd,"$31,500",,,,Fellowship 
University of Georgia (UGA),Bioinformatics,"$26,500",1.25,2020-2021,2nd,"$30,000",,,"$3,500","Required fees and health insurance are $3,500. Parking ranges from $20-$40/month."
George Mason University (GMU),Computer Science,"$24,000",0.80,2021-2022,1st,,"$24,000",,,
Princeton University,,"$35,000",1.38,2020-2021,,"$35,000",,,,
Vanderbilt University,Biomedical Engineering,"$30,900",1.35,2020-2021,2nd,"$31,000",,,$100,
University of Nebraska - Lincoln (NU),Ph.D. in Finance,"$27,000",1.38,2021-2022,1st,,"$30,000",,"$3,000",
Stevens Institute of Technology,business,"$30,500",1.15,2020-2021,2nd,"$30,500",,,,"I get paid 12,000 a semester, and 6500 for the summer. However, I don't need to teach/work in the summer. "
University of Denver (DU),Mathematics,"$21,402",0.95,2021-2022,3rd,,"$21,642",,$240,Summer opportunities are limited
University of North Carolina - Chapel Hill (UNC),Biological and Biomedical Science Program,"$33,000",1.48,2020-2021,,"$33,000",,,,
Florida State University (FSU),Eoas ,"$21,200",0.91,2020-2021,6th and up,"$22,000",,,$800,
Texas A&amp;M; University - College Station,Mechanical Engineering,"$24,000",,2020-2021,1st,,"$18,000","$6,000",,
Rutgers the State University of New Jersey - New Brunswick,Educational Psychology - Higher Education,"$22,000",0.85,2020-2021,5th,,"$22,000",,,"22 k fellowship, no summer funding or option for funding. Tuition Remission included for AY"
Wake Forest University (WFU),department of biomedical engineering ,"$71,000",3.26,2020-2021,,"$71,000",,,,
Louisiana State University - Baton Rouge,Entomology,"$1,833",0.08,2020-2021,,"$1,833",,,,
University of Maryland - College Park (UMD),DOIT,"$34,000",1.12,2020-2021,1st,,"$26,000","$8,000",,
,,$2,,2020-2021,1st,$2,,,,
University of California - Irvine (UCI),Informatics,"$21,900",0.75,2021-2022,1st,"$21,900",,,,$2500 stipend
Indiana University,Sociology,"$20,300",0.94,2020-2021,2nd,,"$21,000",,$700,
Rochester Institute of Technology (RIT),,"$26,000",1.22,2020-2021,1st,"$27,000",,,"$1,000",
Virginia Commonwealth University (VCU),Biomedical Sciences Doctoral Portal,"$30,000",1.21,2020-2021,3rd,"$30,000",,,,"Base 30k, 1k raise after passing qualifying exams, 1k raise if awarded a grant (NIH/NSF/etc.)
Health Insurance currently not provided"
Temple University (TU),chemistry,"$27,320",1.13,2020-2021,4th,"$28,000",,,$680,
University at Buffalo - SUNY,Computational and Data-Enabled Science and Engineering,"$23,500",1.12,2020-2021,3rd,"$25,000",,,"$1,500",
North Carolina State University (NCSU),Physics,"$23,400",1.02,2021-2022,1st,"$26,000",,,"$2,600",
,,"$34,999",,2020-2021,,"$34,999",,,,
Carnegie Mellon University (CMU),,"$3,000",0.14,2021-2022,1st,,"$3,000",,,
University of Iowa (UI),Biomedical sciences,"$21,000",0.95,2020-2021,1st,"$31,000",,,"$10,000",
Cornell University (CU),,"$38,300",1.58,2020-2021,1st,"$38,300",,,,
University of Texas - Dallas (UTD),Behavioral and Brain Sciences/Cognition and Neuroscience,"$22,700",1.05,2020-2021,1st,"$25,200",,,"$2,500",
University of California - San Diego (UCSD),Electrical engineering,"$-1,500",-0.06,2020-2021,5th,"$2,500",,,"$4,000",.
University of Illinois - Urbana- Champaign (UIUC),Electrical and Computer Engineering ,"$2,400",0.11,2021-2022,1st,,"$2,400",,,
buffalo,biology,"$19,400",,2020-2021,1st,"$20,000",,,$600,
University of Pennsylvania,Chemistry ,"$34,000",1.41,2020-2021,2nd,"$34,000",,,,
University of Georgia (UGA),Psychology ,"$18,649",0.88,2021-2022,1st,,"$19,794",,"$1,145",
University of North Carolina - Greensboro (UNCG),Chemistry ,"$22,116",1.03,2021-2022,,"$22,916",,,$800,
,English,"$22,000",,2020-2021,,"$22,000",,,,
University of Oregon (UO),,"$22,000",1.05,2020-2021,,"$22,000",,,,
,,"$22,000",,2020-2021,,"$22,000",,,,
"Indian Institute of Technology,Dharwad",Mechanical Engineering,"$4,831",,2020-2021,1st,"$5,797",,,$966,
University of California - Los Angeles (UCLA),Biostatistics,"$24,000",0.93,2021-2022,1st,,"$24,000",,,
University of Minnesota - Twin Cities (UM),Biostatistics,"$32,020",1.40,2021-2022,1st,"$32,020",,,,
University of Wisconsin - Madison (UW),Microbiology ,"$27,400",1.20,2020-2021,1st,"$29,000",,,"$1,600",
New York University (NYU),GSAS,"$33,000",1.11,2016-2017,,,"$28,000","$5,000",,
University of North Carolina - Chapel Hill (UNC),School of Business,"$33,000",1.48,2021-2022,1st,"$33,000",,,,
Arizona State University (ASU),Human Systems Engineering,"$29,000",1.31,2020-2021,1st,"$30,000",,,"$1,000",
University of Maryland - College Park (UMD),Chemical and Biomolecular Engineering,"$36,020",1.19,2021-2022,4th,"$36,855",,,$835,"This takes into account required fees, pay increase upon advancing to candidacy, and cost of living adjustments based on Maryland State government."
,Public health,"$2,100",,2021-2022,1st,"$2,100",,,,
Drexel University (DU),Public health,"$2,100",0.09,2021-2022,1st,"$2,100",,,,
University of Texas - Austin (UT),Computer Science,"$28,500",1.25,2021-2022,1st,"$29,000",,,$500,
University of Kentucky (UK),Political Science,"$15,750",0.77,2020-2021,4th,,"$16,000",,$250,
Boston College (BC),Physics,"$32,000",1.15,2021-2022,1st,"$32,000",,,,
Texas A&amp;M; University - College Station,Mathematics,"$24,600",,2020-2021,2nd,"$24,600",,,,Summers not guaranteed but there are almost always positions available.
University of North Carolina Wilmington,Psychology,"$16,942",,2020-2021,4th,"$20,000",,,"$3,058",
McGill University,Integrated Program in Neuroscience,"$17,000",,2020-2021,5th,"$20,000",,,"$3,000",Our program also does not provide options to TA or do other work for extra money
Georgia State University (GSU),IBMS,"$27,764",1.19,2020-2021,1st,"$32,000",,,"$4,236",Fees include mandatory health ins and school fees. Stipend was increased from $30 K after joining a well funded lab.
University of Maryland - College Park (UMD),Biophysics ,"$32,000",1.06,2021-2022,1st,"$32,000",,,,
University of Mississippi (Ole Miss),psychology,"$33,000",1.52,2021-2022,1st,"$33,000",,,,
University of Tennessee - Knoxville,Earth and Planetary Sciences/PdD,"$14,500",0.68,2020-2021,1st,"$17,000",,,"$2,500","The university is in the process of waiving fees. I also have a few scholarships, base pay is 15000/yr"
University of California - Irvine (UCI),Computer Science,"$35,400",1.21,2021-2022,1st,"$35,400",,,,
McGill university,Integrated program in neuroscience (IPN) ,"$17,000",,2021-2022,5th,"$21,000",,,"$4,000",
McGill university,Integrated program in neuroscience (IPN) ,"$17,000",,2020-2021,4th,"$21,000",,,"$4,000",
McGill university,Integrated program in neuroscience (IPN) ,"$17,000",,2019-2020,3rd,"$21,000",,,"$4,000",
McGill university,Integrated program in neuroscience (IPN) ,"$17,000",,2018-2019,2nd,"$21,000",,,"$4,000",
McGill university,Integrated program in neuroscience (IPN) ,"$-1,900",,2017-2018,1st,"$2,100",,,"$4,000",
Southern Illinois University - Carbondale (SIUC),Chemistry ,"$17,777",0.89,2020-2021,1st,"$20,000",,,"$2,223",
University of Miami (UM),Modern Languages and Literatures,"$21,000",0.88,2019-2020,1st,,"$22,000",,"$1,000",
Worcester Polytechnic Institute (WPI),Robotics Engineering,"$34,000",1.51,2020-2021,,"$34,000",,,,
Drexel University (DU),Physics,"$24,000",1.00,2020-2021,2nd,"$24,000",,,,Stipend also includes enrollment in student health plan
Texas A&amp;M; University - College Station,Veterinary Biomedical Sciences,"$22,850",,2020-2021,1st,"$23,000",,,$150,
University of Pittsburgh,Computer Science,"$18,542",0.90,2021-2022,1st,,"$19,480",,$938,
University of Miami (UM),Abess Center For Ecosystem Science and Policy,"$27,000",1.13,2020-2021,4th,"$30,000",,,"$3,000",
University of Pennsylvania,Healthcare management and economics ,"$33,526",1.39,2020-2021,1st,"$33,526",,,,
Indiana University Purdue University Indianapolis,Philanthropic Studies,"$15,000",,2021-2022,1st,,"$15,000",,,
University of Arizona (U of A),Physics ,"$18,400",0.89,2021-2022,1st,,"$18,400",,,
Stony Brook University - SUNY,Molecular and Cellular Biology,"$17,500",0.63,2020-2021,,,"$17,500",,,
University of Wisconsin - Milwaukee (UWM),Sociology,"$12,350",0.57,2020-2021,2nd,,"$13,750",,"$1,400",
University of California - San Francisco (UCSF),Bioengineering,"$41,200",1.38,2020-2021,1st,"$41,200",,,,
Baylor College of Medicine,biotechnology,"$34,000",1.56,2020-2021,1st,"$34,000",,,,
,,"$20,000",,2020-2021,,,"$20,000",,,
Rensselaer Polytechnic Institute (RPI),Chemical engineering ,"$29,000",1.27,2020-2021,1st,"$32,000",,,"$3,000",
University of Pennsylvania,Chemistry,"$34,000",1.41,2020-2021,6th and up,"$34,000",,,,"Stipend was $30,000 since at least 2015, but was raised to $34,000 in the summer of 2020. No dental insurance, but school will reimburse for 1/2 cost (~$550 total) if you opt in. Limited vision coverage with standard health care. We are not unionized, so cost of living increases are not guaranteed. "
